studyid,lat,lon,region,ph,phtype,soc,clay,cec,sand,bd,temp,prec,GEnZ,GEnS,appc,fert_cat,crop_cat,measmethod,exptype,ndose,nsplitc,log_ef,ef_mean,ef_sd,n
Black_1985_Effects,-43.645,172.466,AU,6.1,water,4.1,13.75,287,61,0.98,11.8704025265814,628.824148013674,K,K1,unknown,AS,leguminose,D,field,30,1,-2.81341071676004,0.06,0.005,4
Black_1985_Effects,-43.645,172.466,AU,6.1,water,4.1,13.75,287,61,0.98,11.8704025265814,628.824148013674,K,K1,unknown,AS,leguminose,D,field,30,1,-3.91202300542815,0.02,0.001,4
Black_1985_Effects,-43.645,172.466,AU,6.1,water,4.1,13.75,287,61,0.98,11.8704025265814,628.824148013674,K,K1,unknown,AS,leguminose,D,field,30,1,-4.3428059215206,0.013,0.001,4
Black_1985_Effects,-43.645,172.466,AU,6.1,water,4.1,13.75,287,61,0.98,11.8704025265814,628.824148013674,K,K1,unknown,AS,leguminose,D,field,30,1,-3.86323284125871,0.021,0.003,4
Black_1985_Effects,-43.645,172.466,AU,6.1,water,4.1,13.75,287,61,0.98,11.8704025265814,628.824148013674,K,K1,unknown,U,leguminose,D,field,30,1,-2.18925640768704,0.112,0.007,4
Black_1985_Effects,-43.645,172.466,AU,6.1,water,4.1,13.75,287,61,0.98,11.8704025265814,628.824148013674,K,K1,unknown,U,leguminose,D,field,30,1,-2.60369018577797,0.074,0.008,4
Black_1985_Effects,-43.645,172.466,AU,6.1,water,4.1,13.75,287,61,0.98,11.8704025265814,628.824148013674,K,K1,unknown,U,leguminose,D,field,30,1,-2.00991547903123,0.134,0.011,4
Black_1985_Effects,-43.645,172.466,AU,6.1,water,4.1,13.75,287,61,0.98,11.8704025265814,628.824148013674,K,K1,unknown,U,leguminose,D,field,30,1,-1.89711998488588,0.15,0.019,4
Black_1985_Effects,-43.645,172.466,AU,6.1,water,4.1,13.75,287,61,0.98,11.8704025265814,628.824148013674,K,K1,unknown,U,leguminose,D,field,30,1,-2.07147337203066,0.126,0.016,4
Black_1985_Effects,-43.645,172.466,AU,6.1,water,4.1,13.75,287,61,0.98,11.8704025265814,628.824148013674,K,K1,unknown,DAP-MAP,leguminose,D,field,30,1,-3.47376807449699,0.031,0.006,4
Black_1985_Effects,-43.645,172.466,AU,6.1,water,4.1,13.75,287,61,0.98,11.8704025265814,628.824148013674,K,K1,unknown,DAP-MAP,leguminose,D,field,30,1,-3.81671282562382,0.022,0.003,4
Black_1985_Effects,-43.645,172.466,AU,6.1,water,4.1,13.75,287,61,0.98,11.8704025265814,628.824148013674,K,K1,unknown,DAP-MAP,leguminose,D,field,30,1,-2.50103603171788,0.082,0.005,4
Black_1985_Effects,-43.645,172.466,AU,6.1,water,4.1,13.75,287,61,0.98,11.8704025265814,628.824148013674,K,K1,unknown,DAP-MAP,leguminose,D,field,30,1,-2.84731226843572,0.058,0.007,4
Black_1985_Effects,-43.645,172.466,AU,6.1,water,4.1,13.75,287,61,0.98,11.8704025265814,628.824148013674,K,K1,unknown,DAP-MAP,leguminose,D,field,30,1,-2.65926003693278,0.07,0.003,4
